"Time","F ext","Out 1","R","Theta"
"0","365322","0","0.0139677","38.1996"
"0.9375","40189.7","0.078125","0.013495","-146.903"
"1.875","67.1436","0.078125","0.00129276","-21.7676"
"2.8125","67.1436","0.078125","0.00113315","-3.89692"
"3.75","67.1436","0.078125","0.00113391","-1.48275"
"4.6875","67.1436","0.078125","0.00113068","-0.417213"
"5.625","67.1436","0.15625","0.000637403","-23.7122"
"6.5625","67.1436","0.15625","0.00057697","-0.62776"
"7.5","67.1436","0.15625","0.000576969","-1.84068"
"8.4375","67.1436","0.15625","0.000577101","2.24862"
"9.375","67.1436","0.15625","0.000576611","-1.29786"
"10.3125","67.1436","0.234375","0.000397868","-1.01095"
"11.25","67.1436","0.234375","0.000388966","0.835188"
"12.1875","67.1436","0.234375","0.000388695","-0.419725"
"13.125","67.1436","0.234375","0.000388587","-0.248173"
"14.0625","67.1436","0.234375","0.000388387","0.166706"
"15","67.1436","0.3125","0.000297313","7.93277"
"15.9375","67.1436","0.3125","0.000293807","0.630571"
"16.875","67.1436","0.3125","0.000293755","0.214178"
"17.8125","67.1436","0.3125","0.000293759","-0.283149"
"18.75","67.1436","0.3125","0.000293714","-0.0726565"
"19.6875","320.406","0.390625","0.0190989","65.1769"
"20.625","371.205","0.390625","0.0609077","87.3256"
"21.5625","370.982","0.390625","0.0691669","88.1884"
"22.5","370.956","0.390625","0.0703807","88.4733"
"23.4375","370.885","0.390625","0.0714003","88.5982"
"24.375","439.408","0.46875","0.13072","88.5563"
"25.3125","439.188","0.46875","0.181938","88.4058"
"26.25","439.188","0.46875","0.184577","88.5691"
"27.1875","439.137","0.46875","0.184941","88.6415"
"28.125","439.117","0.46875","0.185282","88.6714"
"29.0625","507.005","0.546875","0.2538","88.8902"
"30","507.6","0.546875","0.299736","88.5795"
"30.9375","507.593","0.546875","0.301413","88.6432"
"31.875","507.59","0.546875","0.300873","88.6741"
"32.8125","507.585","0.546875","0.301132","88.6878"
"33.75","576.132","0.625","0.366426","88.9121"
"34.6875","576.403","0.625","0.403704","88.6346"
"35.625","576.389","0.625","0.404481","88.667"
"36.5625","576.387","0.625","0.404057","88.6849"
"37.5","576.362","0.625","0.403555","88.6911"
"38.4375","647.1","0.703125","0.419357","88.8807"
"39.375","647.791","0.703125","0.427474","88.6518"
"40.3125","647.769","0.703125","0.42772","88.6708"
"41.25","647.761","0.703125","0.427659","88.6823"
"42.1875","647.744","0.703125","0.427611","88.687"
"43.125","718.696","0.78125","0.431536","88.8879"
"44.0625","719.422","0.78125","0.434377","88.6594"
"45","719.416","0.78125","0.434485","88.6707"
"45.9375","719.4","0.78125","0.434474","88.6786"
"46.875","719.398","0.78125","0.434465","88.6823"
"47.8125","790.158","0.859375","0.436724","88.8496"
"48.75","791.186","0.859375","0.43848","88.6595"
"49.6875","791.186","0.859375","0.438542","88.6677"
"50.625","791.183","0.859375","0.438534","88.675"
"51.5625","791.16","0.859375","0.43853","88.6785"
"52.5","861.846","0.9375","0.440113","88.8166"
"53.4375","863.172","0.9375","0.441334","88.6603"
"54.375","863.174","0.9375","0.441367","88.6671"
"55.3125","863.167","0.9375","0.441353","88.6732"
"56.25","863.146","0.9375","0.441349","88.6758"
"57.1875","934.367","1.01562","0.442603","88.7926"
"58.125","935.285","1.01562","0.443529","88.6608"
"59.0625","935.28","1.01562","0.443557","88.6666"
"60","935.266","1.01562","0.443552","88.6716"
"60.9375","935.263","1.01562","0.443543","88.6733"
"61.875","1006.64","1.09375","0.444606","88.7726"
"62.8125","1007.24","1.09375","0.445331","88.6617"
"63.75","1007.24","1.09375","0.445362","88.6662"
"64.6875","1007.23","1.09375","0.445361","88.6707"
"65.625","1007.22","1.09375","0.445365","88.6728"
"66.5625","1078.52","1.17188","0.446271","88.7588"
"67.5","1079.44","1.17188","0.446877","88.6625"
"68.4375","1079.43","1.17188","0.446909","88.6671"
"69.375","1079.46","1.17188","0.44691","88.6704"
"70.3125","1079.44","1.17188","0.446914","88.6723"
"71.25","1150.27","1.25","0.447688","88.7468"
"72.1875","1151.16","1.25","0.448182","88.6645"
"73.125","1151.17","1.25","0.448197","88.668"
"74.0625","1151.14","1.25","0.448205","88.6705"
"75","1151.12","1.25","0.448198","88.672"
"75.9375","1222.1","1.32812","0.448897","88.7394"
"76.875","1223.3","1.32812","0.449338","88.6655"
"77.8125","1223.3","1.32812","0.449358","88.669"
"78.75","1223.29","1.32812","0.449358","88.6713"
"79.6875","1223.32","1.32812","0.449368","88.6728"
"80.625","1294.07","1.40625","0.450019","88.7315"
"81.5625","1295.43","1.40625","0.450412","88.6675"
"82.5","1295.44","1.40625","0.450434","88.6703"
"83.4375","1295.43","1.40625","0.450429","88.6729"
"84.375","1295.43","1.40625","0.450428","88.6739"
"85.3125","1366.95","1.48438","0.450979","88.7277"
"86.25","1367.97","1.48438","0.451362","88.6697"
"87.1875","1367.96","1.48438","0.451377","88.672"
"88.125","1367.95","1.48438","0.451378","88.6743"
"89.0625","1367.94","1.48438","0.451385","88.6752"
"90","1439.14","1.5625","0.451903","88.7231"
"90.9375","1440.2","1.5625","0.452247","88.6716"
"91.875","1440.2","1.5625","0.452268","88.6739"
"92.8125","1440.16","1.5625","0.452273","88.6753"
"93.75","1440.16","1.5625","0.452276","88.6763"
"94.6875","1511.72","1.64062","0.452771","88.7212"
"95.625","1512.79","1.64062","0.453094","88.6738"
"96.5625","1512.78","1.64062","0.45311","88.676"
"97.5","1512.8","1.64062","0.453111","88.6781"
"98.4375","1512.81","1.64062","0.453117","88.679"
"99.375","1583.89","1.71875","0.453588","88.7187"
"100.312","1584.93","1.71875","0.453875","88.6768"
"101.25","1584.95","1.71875","0.453882","88.6789"
"102.187","1584.95","1.71875","0.453879","88.6804"
"103.125","1584.92","1.71875","0.45387","88.6813"
"104.062","1656.93","1.79688","0.454331","88.7194"
"105","1657.7","1.79688","0.454609","88.6797"
"105.937","1657.69","1.79688","0.454623","88.6815"
"106.875","1657.68","1.79688","0.454619","88.6829"
"107.812","1657.68","1.79688","0.454616","88.6838"
"108.75","1729.16","1.875","0.455053","88.7179"
"109.687","1730.05","1.875","0.455305","88.6828"
"110.625","1730.04","1.875","0.455323","88.6842"
"111.562","1730.05","1.875","0.455323","88.6857"
"112.5","1730.03","1.875","0.455325","88.6861"
"113.437","1801.73","1.95312","0.45575","88.7174"
"114.375","1802.47","1.95312","0.455983","88.6854"
"115.312","1802.45","1.95312","0.456","88.6869"
"116.25","1802.46","1.95312","0.456003","88.688"
"117.187","1802.45","1.95312","0.456008","88.688"
"118.125","1873.56","2.03125","0.456414","88.7171"
"119.062","1874.74","2.03125","0.45664","88.688"
"120","1874.76","2.03125","0.456652","88.6889"
"120.937","1874.76","2.03125","0.456654","88.6902"
"121.875","1874.78","2.03125","0.456659","88.6908"
"122.812","1946.42","2.10938","0.457059","88.7178"
"123.75","1947.32","2.10938","0.457273","88.6909"
"124.687","1947.34","2.10938","0.457286","88.6919"
"125.625","1947.35","2.10938","0.457291","88.6932"
"126.562","1947.34","2.10938","0.4573","88.6936"
"127.5","2018.06","2.1875","0.457681","88.7191"
"128.437","2019.1","2.1875","0.457879","88.6939"
"129.375","2019.08","2.1875","0.457892","88.6952"
"130.312","2019.1","2.1875","0.457903","88.6958"
"131.25","2019.09","2.1875","0.457907","88.6963"
"132.187","2090.72","2.26562","0.458288","88.7198"
"133.125","2091.77","2.26562","0.458484","88.6966"
"134.062","2091.77","2.26562","0.458497","88.6977"
"135","2091.78","2.26562","0.458504","88.6983"
"135.937","2091.79","2.26562","0.458505","88.6989"
"136.875","2163.18","2.34375","0.458875","88.7212"
"137.812","2164.09","2.34375","0.459069","88.6997"
"138.75","2164.09","2.34375","0.459091","88.7005"
"139.687","2164.09","2.34375","0.4591","88.7015"
"140.625","2164.07","2.34375","0.459101","88.7016"
